category,id,title,author,publisher,isbn,coverURL
其他,00-001,我的資優班,游森棚,寶瓶,,
其他,00-002,資優生獨立研究指導手冊,潘裕豐,台師大特教系,,
其他,00-003,國家地理攝影精技-旅遊篇,羅伯特．卡普托,秋雨文化,,
其他,00-004,潛水鐘與蝴蝶,Jean-Dominique Bauby,大塊,,
數學,01-001,神秘有趣的數學,孫文先,九章出版社,,
數學,01-002,逆轉騙數,莊惟棟,MOOK墨刻,,
數學,01-003,幾何明珠,黃家禮,九章出版社,,
數學,01-004-1,初中數學競賽教程,嚴鎮軍,九章出版社,,
數學,01-004-2,初中數學競賽教程,嚴鎮軍,九章出版社,,
數學,01-005,初中奧數超級教程 初中二年級,朱華偉,九章出版社,,
數學,01-006,藝數摺學,李政憲,臉譜,,
數學,01-007,数学奥林匹克小丛书·初中卷-1因式分解技巧,单壿,华东师范大学出版社,,
數學,01-008,数学奥林匹克小丛书·初中卷-2方程与方程组,葛军,华东师范大学出版社,,
數學,01-009,数学奥林匹克小丛书·初中卷-3一次函数与二次函数,李惟峰 ,华东师范大学出版社,,
數學,01-010,数学奥林匹克小丛书·初中卷-4三角形与四边形,沈文选,华东师范大学出版社,,
數學,01-011,数学奥林匹克小丛书·初中卷-5圆,柯新立,华东师范大学出版社,,
數學,01-012,数学奥林匹克小丛书·初中卷-6整除、同余与不定方程,冯志刚,华东师范大学出版社,,
數學,01-013,数学奥林匹克小丛书·初中卷-7组合趣题,周建新,华东师范大学出版社,,
數學,01-014,数学奥林匹克小丛书·初中卷-8初中数学竞赛中的解题方法与策略,冯志刚、顾滨 ,华东师范大学出版社,,
數學,01-015-1,令你苦思冥想的数学趣题,Peter Winkier,人民邮电出版,,
數學,01-015-2,令你苦思冥想的数学趣题,Peter Winkier,人民邮电出版,,
數學,01-015-3,令你苦思冥想的数学趣题,Peter Winkier,人民邮电出版,,
數學,01-015-4,令你苦思冥想的数学趣题,Peter Winkier,人民邮电出版,,
數學,01-016,組合數學-算法與分析,編輯部,九章出版社,,
數學,01-017,數學與猜想,G.波利亞,九章出版社,,
數學,01-018,數學小叢書〈1〉從算術到代數,項武義,九章出版社,,
數學,01-019,數學小叢書〈2〉幾何學的緣起與發展,項武義,九章出版社,,
數學,01-020,數學小叢書〈3〉實變多項函數,項武義,九章出版社,,
數學,01-021,世界數學名題欣賞-置換多項式及其應用,孫琦、萬大慶,九章出版社,,
數學,01-022,高中數學1 自然數系,林義雄,九章出版社,,
數學,01-023,高中數學2 實數系,林義雄,九章出版社,,
數學,01-024,高中數學3 有理數系 整數系,林義雄,九章出版社,,
數學,01-025,高等微積分〈上〉,趙文敏,五南,,
數學,01-026,高等微積分〈下〉,趙文敏,五南,,
數學,01-027,數學新世界 七 K-12核心概念學習單教師說明版,教育部國教署委辦教師專業發展計畫,教育部國教署委辦教師專業發展計畫,,
數學,01-028,數學新世界 八 K-12核心概念學習單教師說明版,教育部國教署委辦教師專業發展計畫,教育部國教署委辦教師專業發展計畫,,
數學,01-029,數學新世界 九 K-12核心概念學習單教師說明版,教育部國教署委辦教師專業發展計畫,教育部國教署委辦教師專業發展計畫,,
數學,01-030,國中資優數學2,陳惠民,博志,,
數學,01-031,國中資優數學3,陳惠民,博志,,
